2024-03-09 13:24:41.223 [main] TRACE dev.cisnux.logging.LevelTest - Trace
2024-03-09 13:24:41.224 [main] DEBUG dev.cisnux.logging.LevelTest - Debug
2024-03-09 13:24:41.224 [main] INFO  dev.cisnux.logging.LevelTest - Info
2024-03-09 13:48:25.341 [Thread-5] INFO  dev.cisnux.logging.MyService - [ed56c182-0b3d-44bb-b246-3db726909009] - Service Save
2024-03-09 13:48:25.341 [Thread-5] INFO  dev.cisnux.logging.MyRepository - [ed56c182-0b3d-44bb-b246-3db726909009] - Repository Save
2024-03-09 13:48:26.347 [Thread-6] INFO  dev.cisnux.logging.MyController - [95d0d8a4-d71c-46f8-9433-a8e03351d726] - Controller Save
2024-03-09 13:48:26.348 [Thread-6] INFO  dev.cisnux.logging.MyService - [95d0d8a4-d71c-46f8-9433-a8e03351d726] - Service Save
2024-03-09 13:48:26.348 [Thread-6] INFO  dev.cisnux.logging.MyRepository - [95d0d8a4-d71c-46f8-9433-a8e03351d726] - Repository Save
2024-03-09 13:48:27.349 [Thread-7] INFO  dev.cisnux.logging.MyController - [75d1254e-2eba-4c3b-a226-8408d03ede04] - Controller Save
2024-03-09 13:48:27.350 [Thread-7] INFO  dev.cisnux.logging.MyService - [75d1254e-2eba-4c3b-a226-8408d03ede04] - Service Save
2024-03-09 13:48:27.351 [Thread-7] INFO  dev.cisnux.logging.MyRepository - [75d1254e-2eba-4c3b-a226-8408d03ede04] - Repository Save
2024-03-09 13:48:28.352 [Thread-8] INFO  dev.cisnux.logging.MyController - [a3e64985-a86b-4369-9851-3bb2620aa14e] - Controller Save
2024-03-09 13:48:28.353 [Thread-8] INFO  dev.cisnux.logging.MyService - [a3e64985-a86b-4369-9851-3bb2620aa14e] - Service Save
2024-03-09 13:48:28.353 [Thread-8] INFO  dev.cisnux.logging.MyRepository - [a3e64985-a86b-4369-9851-3bb2620aa14e] - Repository Save
2024-03-09 13:48:29.358 [Thread-9] INFO  dev.cisnux.logging.MyController - [f75d6ef0-b045-49b0-b60a-45d82c7389f6] - Controller Save
2024-03-09 13:48:29.359 [Thread-9] INFO  dev.cisnux.logging.MyService - [f75d6ef0-b045-49b0-b60a-45d82c7389f6] - Service Save
2024-03-09 13:48:29.359 [Thread-9] INFO  dev.cisnux.logging.MyRepository - [f75d6ef0-b045-49b0-b60a-45d82c7389f6] - Repository Save
2024-03-09 13:49:11.890 [Thread-0] INFO  dev.cisnux.logging.MyController - [138f4ba0-f133-4d37-992f-527a04140083] - Controller Save
2024-03-09 13:49:11.892 [Thread-0] INFO  dev.cisnux.logging.MyService - [138f4ba0-f133-4d37-992f-527a04140083] - Service Save
2024-03-09 13:49:11.892 [Thread-0] INFO  dev.cisnux.logging.MyRepository - [138f4ba0-f133-4d37-992f-527a04140083] - Repository Save
2024-03-09 13:49:12.893 [Thread-1] INFO  dev.cisnux.logging.MyController - [e02f9226-9012-4466-967e-e3cf85ca849f] - Controller Save
2024-03-09 13:49:12.893 [Thread-1] INFO  dev.cisnux.logging.MyService - [e02f9226-9012-4466-967e-e3cf85ca849f] - Service Save
2024-03-09 13:49:12.894 [Thread-1] INFO  dev.cisnux.logging.MyRepository - [e02f9226-9012-4466-967e-e3cf85ca849f] - Repository Save
2024-03-09 13:49:13.899 [Thread-2] INFO  dev.cisnux.logging.MyController - [7bc0ecfb-4646-4c23-8ac1-a1595e91b827] - Controller Save
2024-03-09 13:49:13.900 [Thread-2] INFO  dev.cisnux.logging.MyService - [7bc0ecfb-4646-4c23-8ac1-a1595e91b827] - Service Save
2024-03-09 13:49:13.901 [Thread-2] INFO  dev.cisnux.logging.MyRepository - [7bc0ecfb-4646-4c23-8ac1-a1595e91b827] - Repository Save
2024-03-09 13:49:14.906 [Thread-3] INFO  dev.cisnux.logging.MyController - [804afbce-5157-4504-9067-77ea6a1d69d3] - Controller Save
2024-03-09 13:49:14.906 [Thread-3] INFO  dev.cisnux.logging.MyService - [804afbce-5157-4504-9067-77ea6a1d69d3] - Service Save
2024-03-09 13:49:14.906 [Thread-3] INFO  dev.cisnux.logging.MyRepository - [804afbce-5157-4504-9067-77ea6a1d69d3] - Repository Save
2024-03-09 13:49:15.911 [Thread-4] INFO  dev.cisnux.logging.MyController - [0dca7c37-6355-4802-a07a-ef743f3dcdce] - Controller Save
2024-03-09 13:49:15.912 [Thread-4] INFO  dev.cisnux.logging.MyService - [0dca7c37-6355-4802-a07a-ef743f3dcdce] - Service Save
2024-03-09 13:49:15.912 [Thread-4] INFO  dev.cisnux.logging.MyRepository - [0dca7c37-6355-4802-a07a-ef743f3dcdce] - Repository Save
2024-03-09 13:49:16.916 [Thread-5] INFO  dev.cisnux.logging.MyController - [c788c96f-43ee-4ff9-af21-c3cc03d56cdd] - Controller Save
2024-03-09 13:49:16.916 [Thread-5] INFO  dev.cisnux.logging.MyService - [c788c96f-43ee-4ff9-af21-c3cc03d56cdd] - Service Save
2024-03-09 13:49:16.916 [Thread-5] INFO  dev.cisnux.logging.MyRepository - [c788c96f-43ee-4ff9-af21-c3cc03d56cdd] - Repository Save
2024-03-09 13:49:17.919 [Thread-6] INFO  dev.cisnux.logging.MyController - [2463c448-b261-4cb9-a7ed-4fa828da84cb] - Controller Save
2024-03-09 13:49:17.920 [Thread-6] INFO  dev.cisnux.logging.MyService - [2463c448-b261-4cb9-a7ed-4fa828da84cb] - Service Save
2024-03-09 13:49:17.921 [Thread-6] INFO  dev.cisnux.logging.MyRepository - [2463c448-b261-4cb9-a7ed-4fa828da84cb] - Repository Save
2024-03-09 13:49:18.923 [Thread-7] INFO  dev.cisnux.logging.MyController - [5ea6953a-ba54-4afe-9208-beda83470220] - Controller Save
2024-03-09 13:49:18.924 [Thread-7] INFO  dev.cisnux.logging.MyService - [5ea6953a-ba54-4afe-9208-beda83470220] - Service Save
2024-03-09 13:49:18.924 [Thread-7] INFO  dev.cisnux.logging.MyRepository - [5ea6953a-ba54-4afe-9208-beda83470220] - Repository Save
2024-03-09 13:49:19.929 [Thread-8] INFO  dev.cisnux.logging.MyController - [04f134dc-7d61-4b4b-8399-224a95aff812] - Controller Save
2024-03-09 13:49:19.931 [Thread-8] INFO  dev.cisnux.logging.MyService - [04f134dc-7d61-4b4b-8399-224a95aff812] - Service Save
2024-03-09 13:49:19.931 [Thread-8] INFO  dev.cisnux.logging.MyRepository - [04f134dc-7d61-4b4b-8399-224a95aff812] - Repository Save
2024-03-09 13:49:20.937 [Thread-9] INFO  dev.cisnux.logging.MyController - [4e8b1ca0-256b-46c1-b7ef-ab9912ffb44c] - Controller Save
2024-03-09 13:49:20.938 [Thread-9] INFO  dev.cisnux.logging.MyService - [4e8b1ca0-256b-46c1-b7ef-ab9912ffb44c] - Service Save
2024-03-09 13:49:20.939 [Thread-9] INFO  dev.cisnux.logging.MyRepository - [4e8b1ca0-256b-46c1-b7ef-ab9912ffb44c] - Repository Save
2024-03-09 13:49:26.161 [Thread-0] INFO  dev.cisnux.logging.MyController - [66160670-ab51-4b72-98fd-e137e40e2062] - Controller Save
2024-03-09 13:49:26.162 [Thread-0] INFO  dev.cisnux.logging.MyService - [66160670-ab51-4b72-98fd-e137e40e2062] - Service Save
2024-03-09 13:49:26.162 [Thread-0] INFO  dev.cisnux.logging.MyRepository - [66160670-ab51-4b72-98fd-e137e40e2062] - Repository Save
2024-03-09 13:49:27.167 [Thread-1] INFO  dev.cisnux.logging.MyController - [5624669b-e387-4ef3-9ab3-025796ed36a7] - Controller Save
